,venue_name,id,created_at,text
137,Detox Club,4fc127b8e4b0d3da58ec2312,2012-05-26T18:58:00.000Z,"Marci is opening up a new studio for  classes ... Spin, Trax, boxing ... Looks amazing"
138,Front & Centre Dance Academy,4f2d561de4b094acc4945a8c,2012-02-04T16:00:29.000Z,"Hip hop, jazz, ballet for kids"
158,Track Fitness & Health,4cf03e42b3662c0fa6d47630,2010-11-26T23:09:54.000Z,"For a full body workout, try a circuit training class with Alison Beder Solway. Great for all levels because you choose how hard you want to push yourself."
162,DanceLife X Centre,58bdad65ca107044b287f824,2017-03-06T18:41:41.000Z,"The best dance studio in Canada💖 I am taking the K-Pop classes always which are amazing!! We can learn both the newest and old songs. Also, you can request a song as well. Great choice to be here :)"
163,DanceLife X Centre,58ec4d3967e5f21a40883408,2017-04-11T03:27:53.000Z,"Absolutely amazing dance instructors, friendly and inviting ambiance that offers variety of dances. I have to admit, I am addicted and happy to call DanceLifeX my second home."
164,DanceLife X Centre,58bde186113efc3dd8af69ef,2017-03-06T22:24:06.000Z,Beautiful open space. Very friendly staff. Lots of class selections and amazing teachers! What more can you ask for?
165,DanceLife X Centre,521c650311d2204544a6790a,2013-08-27T08:36:19.000Z,"We offer a variety of Dance Classes/ Lesson: - Salsa - Argentine Tango - Latin Ballroom - Hip Hop .Dance Lesson,Salsa Dance,Dance Classes,Toronto salsa,Salsa Dancing,Salsa dancing Toronto"
166,DanceLife X Centre,58c0d0249836313f62aa2dac,2017-03-09T03:46:44.000Z,Gorgeous studio space and floor locate right at downtown Toronto!! Friendly owners and instructors!!!
167,DanceLife X Centre,58c328782948b34d023eacff,2017-03-10T22:28:08.000Z,"Spacious, beautiful space. Great team of people. It's a pleasure to work here."
168,DanceLife X Centre,52155f4c11d2c0d3cea7dea1,2013-08-22T00:46:04.000Z,Very patient and encouraging teachers.  Good vibe too.
169,DanceLife X Centre,58bf7df72c55ec3905d355c1,2017-03-08T03:43:51.000Z,Great place. I take all my kpop classes here.
180,Basecamp Climbing,5809ff7c38fa2fa4485b0ffa,2016-10-21T11:43:56.000Z,"Impressive looking walls, but the bouldering wall is completely lacking."
181,University of Toronto Athletic Centre,52915c8d11d2164a53a3ccbb,2013-11-24T01:55:25.000Z,"Busiest weight room times: Mon-Fri 5:30pm-7:30pm, sat-Sun 3:30pm-5:00pm. Note: weight room has women's only hours Tues & Fri 5pm-6pm"
182,University of Toronto Athletic Centre,4baf8be470c603bb1cfc95b4,2010-03-28T17:03:32.000Z,"Officially a U of T gym, but not entirely full of students & varsity athletes. Also local community members, kids, day camp, city clubs, and visitors on day passes! The beat 50m pool in Toronto!"
183,University of Toronto Athletic Centre,4e8a70e8cc215b036811a39d,2011-10-04T02:35:20.000Z,"Join UofT Kendo club on Monday, Thursday and Saturday for a great martial art experience! For more info, plz check out UofT Kendo @ the AC office!"
184,University of Toronto Athletic Centre,4f2dd358e4b0d411bb7edd82,2012-02-05T00:54:48.000Z,Best pickup basketball run of the week are on Thursday nights. It's packed so get there early.
185,University of Toronto Athletic Centre,4f96f92be4b0f198033bd155,2012-04-24T19:04:11.000Z,"If you do not go to U of T and you are signing up for a student membership, make sure you have an isic card and avoid the old man in the registration office."
186,University of Toronto Athletic Centre,5631557e498e187a862af292,2015-10-28T23:08:46.000Z,"Ladies, take advantage of women's hours. Not because there's no guys, but because it's not busy at all!"
187,University of Toronto Athletic Centre,50a16084e4b04c46ead304ad,2012-11-12T20:48:04.000Z,Be sure to check the website for program times in the strength condition centre to avoid waiting!
188,University of Toronto Athletic Centre,513a157ae4b05a27e634ecce,2013-03-08T16:44:42.000Z,The weight room regularly has the highest concentration of fivefingers I've ever seen (being worn).
189,University of Toronto Athletic Centre,4ed53c6029c2bbe661bb8967,2011-11-29T20:11:12.000Z,"Best place to nap? The pool gallery, when the swim team doesn't have the music on."
190,University of Toronto Athletic Centre,50c33ebee4b0eaecd7cb77c3,2012-12-08T13:21:02.000Z,Avoid peak hours! Ask the weight room staff to borrow a weight belt for weighted dips or chin-ups.
191,YMCA,56d70ad9498ed69de1be15c5,2016-03-02T15:46:33.000Z,"What an excellent facility! Huge, clean, friendly, and exceptionally well equipped. The weight rooms are as least as good as the best GoodLife."
192,YMCA,5344960c11d22c65ce661082,2014-04-09T00:36:28.000Z,"Ladies! Don't be afraid of the weight floor! All the dudes are friendly, but I'd love to see more women around!"
193,YMCA,53d99e70498ece99cf3b7568,2014-07-31T01:40:00.000Z,If you're strong enough to press 300lbs you're strong enough to take the plates off the bar. Do it.
194,YMCA,52ea9f99498eda40bbb5d616,2014-01-30T18:53:13.000Z,"Love the convenient location, and all that they offer."
195,YMCA,567b5f2f498e50be21fbced1,2015-12-24T02:57:51.000Z,Great Y. Great Staff. Spacious. Updated Equipment.
196,YMCA,5f092d0cf01f971e8a7b3ec9,2020-07-11T03:07:56.000Z,Friendly staff and complete exercise facilities
197,YMCA,51b60726e4b0e0ce6ad3ad5c,2013-06-10T17:04:38.000Z,"Lock your stuff up... 2nd day here and already had something stolen. (I was swimming and left headphones on the deck, one lap later, headphones are gone)"
198,YMCA,550de6cf498edd6820a017f3,2015-03-21T21:46:55.000Z,"So many machines, great condition, never packed."
199,YMCA,55942ce4498e0f9327f59639,2015-07-01T18:09:40.000Z,Weights are kind of intimidating to women I think. I sure am.
200,YMCA,5029a844e4b0372608e76202,2012-08-14T01:22:12.000Z,"New extended hours effective September 4, 2012: open until midnight 7 nights a week."
201,Bloor Fitness 24-7,5164c764e4b0203d559c1c7f,2013-04-10T01:59:00.000Z,"This place is clean, no fuss and the staff are friendly. Opened 24/7 which is a huge plus!"
202,Bloor Fitness 24-7,4c6230aefa7bc9286ab80d27,2010-08-11T05:10:06.000Z,"Clean, new & convenient! Sign-up!"
203,Kula Yoga Studio Annex,545bacb8498e5cc5e8a9e237,2014-11-06T17:15:36.000Z,a great place to start for beginners - the vibe is low-key and their 1st timer deal is one of the best. not great for regular yogis - they don't offer monthly membership and the practice is not varied
204,Kula Yoga Studio Annex,5122344fe4b0b3e2b671db7e,2013-02-18T14:01:51.000Z,"The 'Brown Girls Yoga' is open to everyone and it's a really nice, clam, and relaxing way to unwind and stretch out your muscles at the end of your day."
205,Kula Yoga Studio Annex,5229f5f511d283a86c2d462a,2013-09-06T15:34:13.000Z,"Love that this is an anti-racist and fat, trans + queer positive space ;)"
206,Kula Yoga Studio Annex,5e52e8b298f31d0006ad86b3,2020-02-23T21:03:46.000Z,Lovely atmosphere. Relaxed and welcoming.
207,Kula Yoga Studio Annex,5692b241498e34216931ba1d,2016-01-10T19:34:25.000Z,LGBT friendly change rooms. So great.
208,Kula Yoga Studio Annex,50a158c1498efdffc8650506,2012-11-12T20:14:57.000Z,Free Class on your birthday!  Call beforehand to let them know.
209,Kula Yoga Studio Annex,5442ab06498ecb4a7f3f61e0,2014-10-18T18:01:42.000Z,$30 for 30 days for new comers.  What a deal!
210,Kula Yoga Studio Annex,4fc452bce4b027539f616905,2012-05-29T04:38:20.000Z,Love the relaxed vibe
211,Kula Yoga Studio Annex,53092d3a498e95ae1ccc5fc8,2014-02-22T23:05:30.000Z,Tiny change rooms. Don't expect to shower quickly after a heated class.
212,Kula Yoga Studio Annex,4e6aad29c65b5bef28814fe9,2011-09-10T00:19:53.000Z,$30 for 30 days for new members.
213,Fit Factory Fitness,53e51959498ef17c0f6ee441,2014-08-08T18:39:21.000Z,"Geoff is a great instructor. Get ready to feel like shit (in a good way, of course)."
214,Fit Factory Fitness,519ec633498e2357b9d9099d,2013-05-24T01:45:23.000Z,Remember never to lean on the walls or come late to a class .. They will make you do push ups!
215,Fit Factory Fitness,503cc915e4b0ad9776128efc,2012-08-28T13:35:17.000Z,"You've got what it takes, but it's going to take all you've got ! :D"
216,Fit Factory Fitness,4fc6abdce4b081ac0c8a5bce,2012-05-30T23:23:08.000Z,Tony yells. A lot. You'll get used to it ;)
217,Fit Factory Fitness,507cce44e4b0e7d79b8e378c,2012-10-16T03:02:28.000Z,Be ready to sweat and to cry... Also a form of sweat.
218,Fit Factory Fitness,52ccba3d498eb2f8d15d16b4,2014-01-08T02:38:53.000Z,At fit factory every day is Monday.
219,Fit Factory Fitness,4fa002ade4b098b12fc2981a,2012-05-01T15:35:09.000Z,Best Bootcamp in Toronto!!!
220,Dynamic Conditioning Centre,4f228e47e4b0085e47f4a7c9,2012-01-27T11:45:11.000Z,One of my favourite - and most grueling - workouts. They sometimes have group buying deals.
221,Dynamic Conditioning Centre,4db60cf2ffcbc7464be63b73,2011-04-26T00:08:18.000Z,Top notch facilities and trainers. It's the best I've been to in Toronto.
222,Dynamic Conditioning Centre,5176a724e4b0ae38593b781a,2013-04-23T15:22:12.000Z,Boot camp was good. Exhausting. Two shower stalls available but not busy. Bring plenty of water - you'll need it
223,Dynamic Conditioning Centre,53e29c02498e3198e452590b,2014-08-06T21:20:02.000Z,Best workout in the city in a fitness playground!
224,Dynamic Conditioning Centre,4d682e4d82cba093014dcad8,2011-02-25T22:33:49.000Z,First timers get a free drop-in class or free workout on the house!
225,Dynamic Conditioning Centre,51d9f449498e40b2118ee851,2013-07-07T23:05:45.000Z,Pretty cool gym
226,Dynamic Conditioning Centre,4d93bffcd07eb1f72836ffbb,2011-03-30T23:42:52.000Z,Bootcamp blasted me. Definitely coming back!
246,Canada's National Ballet School,4dd1b6a7814d415b769070a1,2011-05-16T23:43:35.000Z,"Canada’s National Ballet School is one of the world’s foremost training institutions for aspiring young dancers and teachers, attracting students from across the country and around the world."
247,Canada's National Ballet School,51817661498efb1e834ec948,2013-05-01T20:09:05.000Z,Amazing school!
248,Canada's National Ballet School,4c5c7db97735c9b683718c72,2010-08-06T21:25:13.000Z,Great Posture!
249,Canada's National Ballet School,4dcd9afd1fc7fc68cd4e6fa2,2011-05-13T20:56:29.000Z,Check out the adult ballet classes - awesome!
250,Canada's National Ballet School,4addf0b270c603bb1ea68eb4,2009-10-20T17:17:38.000Z,Commercial Jazz Class w/@lindsay_ritter Thursdays @ 6:45
275,Coyne Pilates,4cf29e1fb3662c0fdc127a30,2010-11-28T18:23:27.000Z,"Excellent, outstanding personalized Pilates instruction."
278,Rogers Gym,4ecbfdb1469068520c94f91c,2011-11-22T19:53:21.000Z,You should go in the morning or anytime before 5pm to avoid the crowd.
279,Rogers Gym,4c9a06d778ffa093e6ad6875,2010-09-22T13:38:31.000Z,Don't forget to get the staff to update your workout plan every few months. They are really helpful.
280,Rogers Gym,4c8fcc498914b7139b5a1237,2010-09-14T19:26:01.000Z,Abs class - 12:45 every day except Thursday. Do it!
304,YMCA,5aacae624a1cc05e55ac9c29,2018-03-17T05:57:54.000Z,So well kept! Love their family gym time. Plus their kids area is so nice!
305,YMCA,59bef7c4ca18ea261c71131d,2017-09-17T22:31:32.000Z,"This is a great Y. The Staff are amazing. New Facility, very open, spacious. Great programs too."
306,YMCA,65873309de39106f82aa4290,2023-12-23T19:20:41.000Z,"Doesn't feel like you're in Toronto. Looks new, well maintained, clean and nicely designed facility."
317,OIP Dance Centre,4d62f212d85da35d571589d4,2011-02-21T23:15:30.000Z,House dancing with Apolonia Every Monday 6:30pm is bananas
325,Sweat and Tonic,5dc9d346fee46000065a0ce4,2019-11-11T21:31:50.000Z,Amazing place. Stunning.
326,Sweat and Tonic,5e2a29f137b4c5000c991d47,2020-01-23T23:19:13.000Z,Favourite: slay and stretch yoga 🧘‍♂️ class
327,Sweat and Tonic,5e0f43c83a18fa0006022863,2020-01-03T13:38:16.000Z,Totally a hipster and full service boutique gym... nice facilities however showers and dressing tables are limited for women
328,Sweat and Tonic,634acce63a5f4e14b94d1d6f,2022-10-15T15:08:22.000Z,Door closes precisely 2min after class starts so don’t be late!
329,Hard Candy Fitness,5459b7c5498ec0aeaea0acec,2014-11-05T05:38:13.000Z,I entered there just to see the large Madonna picture at the entrance :-)
330,Hard Candy Fitness,56a951f1498e48f85244f596,2016-01-27T23:25:37.000Z,Nice gym by Madonna! Personal classes are limited though
331,Hard Candy Fitness,549766c5498e3522a5ebfef9,2014-12-22T00:33:09.000Z,"Yoga, ATS Dance, functional training, bosu ball class"
332,Hard Candy Fitness,52cc8668498e8642b6b42df3,2014-01-07T22:57:44.000Z,Hit up the steam room after :)
340,Dance Classes Toronto,54aea883498e826c4a5fcf99,2015-01-08T15:55:47.000Z,"Founded in 1983, Dance Classes Toronto specializes in Ballet and Contemporary training in addition to offering fun and engaging dance lessons like Jazz, Tap, Hip-Hop, and Creative Movement."
341,Dance Classes Toronto,54aea7cc11d264db43f3e436,2015-01-08T15:52:44.000Z,"Dance Classes Toronto provides a creative home for young bodies, minds and spirits, always with a live accompanist and qualified instructors."
342,Dance Classes Toronto,54aea8a0498e9212b079f90f,2015-01-08T15:56:16.000Z,Dance Classes Toronto in Toronto Ontario is Canada’s foremost dance centre at the School of Canadian Contemporary Dance Theatre.
343,Dance Classes Toronto,54aea85f498efc96aea19e5a,2015-01-08T15:55:11.000Z,"Summer dance programs, student teacher internships and classes for adults are also available."
347,Primrose Gym and Sauna,4edfee42e5fa0be345f09331,2011-12-07T22:52:50.000Z,"Gym 24/7, Sauna every day 7-10, great deal"
348,Primrose Gym and Sauna,4f1fba94e4b01ff3520fe56b,2012-01-25T08:17:24.000Z,"Gym 24/7, sauna 8am - 9pm"
349,Lexington Gym,56ee29cb498e7f844b7082d8,2016-03-20T04:40:43.000Z,"This condo has a running track and a big pool, sauna and whirlpool!  Love this place."
350,Lexington Gym,53e2f7fa498e50b0a4681cfc,2014-08-07T03:52:26.000Z,"The squash courts are tiny, but rarely busy."
428,The Ellington Gym,51369d80e4b075924b2f3a29,2013-03-06T01:36:00.000Z,Three of the treadmills are in miles and two in kilometers.  8 km is approximately 5 miles.
442,St Lawrence Community Centre Pool,4cddce81e9272c0f696de13f,2010-11-12T23:32:17.000Z,Blair C pees in the pool !
443,St Lawrence Community Centre Pool,4cdb45345aeda1cd5c25bc11,2010-11-11T01:21:56.000Z,"Avoid Scott Robinson, he stinks bad."
453,Chi Junky,5ba036b53af988002cce9202,2018-09-17T23:20:21.000Z,"Love this studio; lovely space, friendly vibe, great teachers, and all the props are provided!"
486,Totum Life Science Inc,544b054b498eb625ae6be246,2014-10-25T02:04:59.000Z,"Waj Hoda may be the best Physio / chiropractic doctor in Toronto, and he operates exclusively out of Totum."
487,Totum Life Science Inc,4fb400f3e4b00e6c844253f6,2012-05-16T19:33:07.000Z,"If you have any alignment problems, built up scar tissue or sports injuries, go see Dr. Blessyl Buan! She is amazing."
488,Totum Life Science Inc,53e42cee11d22533ef503c40,2014-08-08T01:50:38.000Z,Expensive but amazing small group fitness classes. Try the boxing!
489,Totum Life Science Inc,4ecf01f3b634dd298fe3a9c7,2011-11-25T02:48:19.000Z,"Lots of great classes here. Recommend boxing, muay thai, yoga and spin. Hard to beat!"
490,Totum Life Science Inc,50585da3e4b04bb5b8d07971,2012-09-18T11:40:19.000Z,"@totumlifescience is whole health , 60 classes per week, personal training, sports med & HOT personal trainers!"
491,Totum Life Science Inc,50ae3abf498ec34db33a4f39,2012-11-22T14:46:23.000Z,"Cycling classes, Yoga and Pilates happen here..."
492,Totum Life Science Inc,50746a8ce4b08889bf4ed19d,2012-10-09T18:18:52.000Z,Rachel is probably the best & most reliable chiro in TO
493,Totum Life Science Inc,50a28451e4b017f89aa97334,2012-11-13T17:33:05.000Z,Try Boxing Boot Camp classes!
494,Totum Life Science Inc,4dff7825b3ad37a601914f0c,2011-06-20T16:41:09.000Z,"Check out the new ""Newbie"" and ""Loyalty"" specials!"
495,Totum Life Science Inc,4b69a6e570c603bb5a6b91b4,2010-02-03T16:40:05.000Z,If you need a good trainer ask for Jo Z. She's awesome.
527,Medx Precision Fitness Inc,4c6c5c7f6af58cfac7978617,2010-08-18T22:19:43.000Z,Medx Precision is un real! After a quick 20 minute set with Blair I feel like I've been working out for hours!
582,The Plaza Club,4f9dbb41e4b0ef2f71cdc967,2012-04-29T22:05:53.000Z,"Small for a gym, but if you catch it in between 'rush hours' it's a great little gym. Lots of free towels, lots of toiletries avail in the change rooms"
583,Yoga Tree Downtown,53e830ac11d2c05f1c0813d0,2014-08-11T02:55:40.000Z,Yoga Tree has a great studio in a good location on Spadina. They've also got a good selection of early morning classes that will energize you before you set off for work. Nice intro deal too.
584,Yoga Tree Downtown,4e8d192255032ad219fcc8a9,2011-10-06T02:57:38.000Z,"The best Yoga studio around. Small details here make a big difference in the experience- free hair elastics, tea & lockers. Nice."
585,Yoga Tree Downtown,513bb10be4b093aa424b9de6,2013-03-09T22:00:43.000Z,Rita creates a laid back positive atmosphere and I find myself energized yet mentally rested afterwards. Highly recommended instructor.
586,Yoga Tree Downtown,516e70cce4b04d0449c3b955,2013-04-17T09:52:12.000Z,Leigh's yin class is amazing!!! She actually takes the time to connect with each member of the class which is super helpful and inspiring!
587,Yoga Tree Downtown,530799ef498e95ae1c5d3608,2014-02-21T18:24:47.000Z,"Great instructors, friendly staff, and clean space! Love Jen M, Jen N, Rita, and Jaleyna's classes!"
588,Yoga Tree Downtown,510c58f7e4b03bf82a764cea,2013-02-02T00:08:23.000Z,"Nikki, Diana and Melissa have a brilliant energy and passion.  Love their classes."
589,Yoga Tree Downtown,4ffe0b13e4b03c980f83cdbf,2012-07-11T23:24:03.000Z,$2 - Mat Rental $2 - Towel Rental $1 - Water Bottle
590,Yoga Tree Downtown,5297840a498eee0bbaac023b,2013-11-28T17:57:30.000Z,Yin yoga with Ali on Thursday at 11.45: great class to stretch and relax
591,Yoga Tree Downtown,65dfb33c1194092493ae2505,2024-02-28T22:27:08.000Z,Love the hot yoga studio!
592,Yoga Tree Downtown,540cabca498e14251b0b4a10,2014-09-07T19:02:34.000Z,Sunday restorative is awesome. #yoga
